okres;orp;pohlavi;vek_kat;komplikovany;jip;kyslik;upv;ecmo;delka_hosp;stav;pocet_pac
CZ0317;3112;M;20-64;;;1;0;0;8-14 dní;Propuštěn;33
CZ0313;3105;Z;65+;;;1;0;0;3-7 dní;Propuštěn;15
CZ0311;3113;M;65+;;;0;0;0;2 dny;Propuštěn;1
CZ0534;5314;M;20-64;;;0;0;0;8-14 dní;Propuštěn;2
CZ0641;6401;Z;65+;1;;0;0;0;15+ dní;Propuštěn;1
CZ0806;8019;Z;65+;1;1;0;0;0;3-7 dní;Hospitalizován;2
CZ0532;5309;Z;20-64;1;;1;0;0;15+ dní;Propuštěn;1
CZ0208;2018;Z;20-64;;;1;0;0;1 den;Propuštěn;2
CZ0645;6410;Z;20-64;1;1;1;1;0;15+ dní;Propuštěn;4
CZ020B;2020;M;65+;;;1;0;0;1 den;Propuštěn;6
CZ0715;7111;Z;20-64;;;1;0;0;15+ dní;Propuštěn;1
CZ0411;4101;Z;20-64;;;0;0;0;8-14 dní;Propuštěn;6
CZ0802;8021;M;65+;;;1;0;0;3-7 dní;Propuštěn;10
CZ0724;7209;M;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0208;2018;Z;20-64;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0523;5211;M;65+;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0524;5213;Z;20-64;;;1;0;0;15+ dní;Propuštěn;1
CZ0423;4211;M;65+;;;1;0;0;3-7 dní;Zemřel;11
CZ0422;4203;Z;65+;;;1;0;0;2 dny;Propuštěn;3
CZ0322;3214;M;20-64;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0421;4215;M;20-64;1;1;0;0;0;3-7 dní;Propuštěn;1
CZ0524;5202;M;65+;1;1;0;1;0;8-14 dní;Hospitalizován;1
CZ0513;5105;M;20-64;;;1;0;0;3-7 dní;Propuštěn;22
CZ0803;8018;Z;65+;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0411;4102;M;65+;1;1;0;0;0;3-7 dní;Zemřel;1
CZ0326;3211;M;0-19;;;0;0;0;2 dny;Propuštěn;1
CZ0715;7106;Z;65+;;;1;0;0;15+ dní;Propuštěn;4
CZ020C;2021;M;20-64;;;0;0;0;2 dny;Propuštěn;2
CZ0803;8008;Z;20-64;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0326;3211;Z;65+;;;1;0;0;1 den;Zemřel;2
CZ0721;7203;M;20-64;1;;1;0;0;8-14 dní;Zemřel;1
CZ0209;2003;M;65+;1;1;0;0;0;3-7 dní;Zemřel;1
CZ0513;5105;Z;20-64;;;0;0;0;15+ dní;Hospitalizován;1
CZ0712;7110;Z;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0208;2018;Z;20-64;1;1;0;1;0;1 den;Propuštěn;1
